"sæson","hold","niveau_denne_sæson","placering","hændelse","kval_modstander","kval_resultat","niveau_næste_sæson_algoritme","niveau_næste_sæson_faktisk","christoffer_bekræftet","source_league_group_id","source_group_name_raw","source_group_type","source_match_id","related_qualification_group_ids"
"2013/2014","KBK Kbh. (N)","2. division","6","forbliver i 2. division (midterfelt); BD (N) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","2602","Pulje 1","grundspil","",""
"2013/2014","Solrød Strand 3 (O)","2. division","7","forbliver i 2. division (midterfelt); BD (O) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","2602","Pulje 1","grundspil","",""
"2013/2014","Lillerød 2 (O)","2. division","8","forbliver i 2. division (midterfelt); BD (O) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","2602","Pulje 1","grundspil","",""
"2013/2014","Odense OBK 2","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","2603","Pulje 2","grundspil","","3581"
"2013/2014","Aarhus AB 2","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","2603","Pulje 2","grundspil","","3581"
"2013/2014","Højbjerg 2","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","2603","Pulje 2","grundspil","","3581"
"2013/2014","Horsens (O)","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","2603","Pulje 2","grundspil","","3581"
"2013/2014","Ikast 2","2. division","5","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","2603","Pulje 2","grundspil","",""
"2013/2014","Badminton Esbjerg","2. division","6","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","2603","Pulje 2","grundspil","",""
"2013/2014","Drive (O)","2. division","7","forbliver i 2. division (midterfelt); BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","2603","Pulje 2","grundspil","",""
"2013/2014","Randers BK (N)","2. division","8","forbliver i 2. division (midterfelt); BD (N) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","2603","Pulje 2","grundspil","",""
"2014/2015","Team Skælskør-Slagelse","Ligaen","1","Liga-grundspil","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Aarhus AB","Ligaen","2","Liga-grundspil","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Skovshoved","Ligaen","3","Liga-grundspil","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Greve","Ligaen","4","Liga-grundspil","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Værløse","Ligaen","5","Liga-grundspil","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Odense OBK","Ligaen","6","Liga-grundspil","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Solrød Strand","Ligaen","7","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Gentofte","Ligaen","8","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","",""
"2014/2015","Vendsyssel","Ligaen","9","Ligakvalifikationspulje (ikke direkte 2-holds kamp)","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","","5232"
"2014/2015","Højbjerg","Ligaen","10","automatisk nedrykning","","","ikke fundet","Ligaen","","4278","Grundspil","grundspil","","5232"
